PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
Buenos Aires;29/3/2020;18;;;;;
Catamarca;29/3/2020;0;;;;;
Chaco;29/3/2020;6;;;;;
Chubut;29/3/2020;0;;;;;
Ciudad de Buenos Aires;29/3/2020;1;;;;;
Córdoba;29/3/2020;13;;;;;
Corrientes;29/3/2020;1;;;;;
Entre Ríos;29/3/2020;0;;;;;
Jujuy;29/3/2020;0;;;;;
La Pampa;29/3/2020;2;;;;;
La Rioja;29/3/2020;1;;;;;
Mendoza;29/3/2020;1;;;;;
Misiones;29/3/2020;1;;;;;
Neuquén;29/3/2020;0;;;;;
Río Negro;29/3/2020;1;;;;;
Salta;29/3/2020;0;;;;;
San Juan;29/3/2020;1;;;;;
San Luis;29/3/2020;0;;;;;
Santa Cruz;29/3/2020;0;;;;;
Santa Fe;29/3/2020;14;;;;;
Santiago del Estero;29/3/2020;0;;;;;
Tierra del Fuego;29/3/2020;3;;;;;
Tucumán;29/3/2020;0;;;;;
Buenos Aires;30/3/2020;36;;;;;
Catamarca;30/3/2020;0;;;;;
Chaco;30/3/2020;12;;;;;
Chubut;30/3/2020;0;;;;;
Ciudad de Buenos Aires;30/3/2020;34;;;;;
Córdoba;30/3/2020;8;;;;;
Corrientes;30/3/2020;10;;;;;
Entre Ríos;30/3/2020;3;;;;;
Jujuy;30/3/2020;0;;;;;
La Pampa;30/3/2020;0;;;;;
La Rioja;30/3/2020;0;;;;;
Mendoza;30/3/2020;3;;;;;
Misiones;30/3/2020;0;;;;;
Neuquén;30/3/2020;8;;;;;
Río Negro;30/3/2020;0;;;;;
Salta;30/3/2020;0;;;;;
San Juan;30/3/2020;0;;;;;
San Luis;30/3/2020;0;;;;;
Santa Cruz;30/3/2020;0;;;;;
Santa Fe;30/3/2020;21;;;;;
Santiago del Estero;30/3/2020;0;;;;;
Tierra del Fuego;30/3/2020;11;;;;;
Tucumán;30/3/2020;0;;;;;
Buenos Aires;31/3/2020;17;;;;;
Catamarca;31/3/2020;0;;;;;
Chaco;31/3/2020;3;;;;;
Chubut;31/3/2020;0;;;;;
Ciudad de Buenos Aires;31/3/2020;19;;;;;
Córdoba;31/3/2020;14;;;;;
Corrientes;31/3/2020;1;;;;;
Entre Ríos;31/3/2020;0;;;;;
Jujuy;31/3/2020;0;;;;;
La Pampa;31/3/2020;0;;;;;
La Rioja;31/3/2020;0;;;;;
Mendoza;31/3/2020;2;;;;;
Misiones;31/3/2020;1;;;;;
Neuquén;31/3/2020;0;;;;;
Río Negro;31/3/2020;1;;;;;
Salta;31/3/2020;0;;;;;
San Juan;31/3/2020;0;;;;;
San Luis;31/3/2020;0;;;;;
Santa Cruz;31/3/2020;0;;;;;
Santa Fe;31/3/2020;22;;;;;
Santiago del Estero;31/3/2020;0;;;;;
Tierra del Fuego;31/3/2020;7;;;;;
Tucumán;31/3/2020;1;;;;;
