PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
Ciudad de Buenos Aires;3/4/2020;28;;;;;
Córdoba;3/4/2020;14;;;;;
Entre Ríos;3/4/2020;2;;;;;
Mendoza;3/4/2020;2;1;;;;
Neuquén;3/4/2020;1;;;;;
Río Negro;3/4/2020;1;;;;;
San Luis;3/4/2020;1;;;;;
Santa Fe;3/4/2020;8;;;;;
Tierra del Fuego;3/4/2020;1;;;;;
Buenos Aires;4/4/2020;26;1;;;;
Chaco;4/4/2020;8;;;;;
Ciudad de Buenos Aires;4/4/2020;34;;;;;
Córdoba;4/4/2020;3;;;;;
La Rioja;4/4/2020;2;;;;;
Neuquén;4/4/2020;4;;;;;
Río Negro;4/4/2020;5;;;;;
Santa Cruz;4/4/2020;1;;;;;
Santa Fe;4/4/2020;5;;;;;
Santiago del Estero;4/4/2020;1;;;;;
Tierra del Fuego;4/4/2020;8;;;;;
Tucumán;4/4/2020;1;;;;;
Buenos Aires;5/4/2020;33;1;;;;
Ciudad de Buenos Aires;5/4/2020;32;1;;;;
Córdoba;5/4/2020;5;1;;;;
Entre Ríos;5/4/2020;1;;;;;
La Rioja;5/4/2020;2;;;;;
Mendoza;5/4/2020;2;;;;;
Neuquén;5/4/2020;11;;;;;
Río Negro;5/4/2020;2;;;;;
Santa Cruz;5/4/2020;1;;;;;
Santa Fe;5/4/2020;11;;;;;
Tierra del Fuego;5/4/2020;3;;;;;
Buenos Aires;6/4/2020;12;4;;;;
Chaco;6/4/2020;4;;;;;
Ciudad de Buenos Aires;6/4/2020;17;1;;;;
Córdoba;6/4/2020;7;;;;;
Corrientes;6/4/2020;2;;;;;
La Rioja;6/4/2020;1;;;;;
Mendoza;6/4/2020;1;;;;;
Neuquén;6/4/2020;6;1;;;;
Río Negro;6/4/2020;2;;;;;
San Luis;6/4/2020;1;;;;;
Santa Fe;6/4/2020;8;;;;;
Santiago del Estero;6/4/2020;6;;;;;
Tierra del Fuego;6/4/2020;2;;;;;
Tucumán;6/4/2020;5;;;;;
Buenos Aires;7/4/2020;34;4;;;;
Chaco;7/4/2020;4;;;;;
Ciudad de Buenos Aires;7/4/2020;24;2;;;;
Córdoba;7/4/2020;4;;;;;
Entre Ríos;7/4/2020;1;;;;;
Mendoza;7/4/2020;2;1;;;;
Neuquén;7/4/2020;3;;;;;
Río Negro;7/4/2020;2;;;;;
Santa Cruz;7/4/2020;8;;;;;
Santa Fe;7/4/2020;3;;;;;
Santiago del Estero;7/4/2020;-1;;;;;
Tierra del Fuego;7/4/2020;2;;;;;
Tucumán;7/4/2020;1;;;;;
Buenos Aires;8/4/2020;17;2;;;;
Chaco;8/4/2020;15;;;;;
Ciudad de Buenos Aires;8/4/2020;18;5;;;;
Córdoba;8/4/2020;1;;;;;
La Pampa;8/4/2020;1;;;;;
Mendoza;8/4/2020;6;;;;;
Neuquén;8/4/2020;17;1;;;;
Río Negro;8/4/2020;1;;;;;
Santa Fe;8/4/2020;2;;;;;
Tierra del Fuego;8/4/2020;2;;;;;
Tucumán;8/4/2020;0;1;;;;
Buenos Aires;9/4/2020;28;6;;;;
Chaco;9/4/2020;6;1;;;;
Ciudad de Buenos Aires;9/4/2020;23;5;;;;
Córdoba;9/4/2020;5;;;;;
Entre Ríos;9/4/2020;2;;;;;
La Rioja;9/4/2020;5;;;;;
Mendoza;9/4/2020;2;;;;;
Neuquén;9/4/2020;7;;;;;
Río Negro;9/4/2020;13;;;;;
Santa Fe;9/4/2020;7;1;;;;
Tucumán;9/4/2020;1;;;;;
Buenos Aires;10/4/2020;19;1;;;;
Chaco;10/4/2020;5;;;;;
Ciudad de Buenos Aires;10/4/2020;11;1;;;;
Córdoba;10/4/2020;13;;;;;
La Pampa;10/4/2020;1;;;;;
Mendoza;10/4/2020;9;;;;;
Neuquén;10/4/2020;7;;;;;
Río Negro;10/4/2020;7;1;;;;
Santa Cruz;10/4/2020;6;;;;;
Santa Fe;10/4/2020;1;;;;;
Tierra del Fuego;10/4/2020;2;;;;;
Buenos Aires;11/4/2020;37;4;;;;
Ciudad de Buenos Aires;11/4/2020;46;3;;;;
Córdoba;11/4/2020;32;1;;;;
La Rioja;11/4/2020;4;;;;;
Mendoza;11/4/2020;5;;;;;
Neuquén;11/4/2020;1;;;;;
Río Negro;11/4/2020;23;;;;;
San Juan;11/4/2020;1;;;;;
Santa Cruz;11/4/2020;3;;;;;
Santa Fe;11/4/2020;3;;;;;
Santiago del Estero;11/4/2020;3;;;;;
Tierra del Fuego;11/4/2020;8;;;;;
Tucumán;11/4/2020;1;;;;;
Buenos Aires;12/4/2020;28;3;;;;
Chaco;12/4/2020;1;;;;;
Ciudad de Buenos Aires;12/4/2020;8;1;;;;
Córdoba;12/4/2020;5;1;;;;
Entre Ríos;12/4/2020;-1;;;;;
La Rioja;12/4/2020;1;;;;;
Mendoza;12/4/2020;3;;;;;
Neuquén;12/4/2020;1;;;;;
Río Negro;12/4/2020;13;;;;;
Santa Fe;12/4/2020;3;;;;;
Tierra del Fuego;12/4/2020;4;;;;;
Buenos Aires;13/4/2020;29;1;;;;
Chaco;13/4/2020;3;;;;;
Ciudad de Buenos Aires;13/4/2020;10;1;;;;
Córdoba;13/4/2020;4;1;;;;
Corrientes;13/4/2020;7;;;;;
La Rioja;13/4/2020;3;;;;;
Mendoza;13/4/2020;2;;;;;
Neuquén;13/4/2020;2;;;;;
Río Negro;13/4/2020;3;;;;;
Santa Fe;13/4/2020;2;;;;;
Tierra del Fuego;13/4/2020;4;;;;;
Buenos Aires;14/4/2020;66;;;;;
Chaco;14/4/2020;31;;;;;
Ciudad de Buenos Aires;14/4/2020;22;;;;;
Córdoba;14/4/2020;12;;;;;
Corrientes;14/4/2020;1;;;;;
La Rioja;14/4/2020;6;;;;;
Mendoza;14/4/2020;3;;;;;
Neuquén;14/4/2020;2;;;;;
Río Negro;14/4/2020;13;;;;;
Santa Fe;14/4/2020;2;;;;;
Tierra del Fuego;14/4/2020;8;;;;;
Buenos Aires;15/4/2020;62;;;;;
Chaco;15/4/2020;7;;;;;
Chubut;15/4/2020;1;;;;;
Ciudad de Buenos Aires;15/4/2020;30;;;;;
Córdoba;15/4/2020;6;;;;;
Corrientes;15/4/2020;-1;;;;;
La Rioja;15/4/2020;3;;;;;
Mendoza;15/4/2020;1;;;;;
Neuquén;15/4/2020;1;;;;;
Río Negro;15/4/2020;12;;;;;
Salta;15/4/2020;1;;;;;
Santa Fe;15/4/2020;2;;;;;
Tierra del Fuego;15/4/2020;3;;;;;
Buenos Aires;16/4/2020;30;;;;;
Chaco;16/4/2020;11;;;;;
Chubut;16/4/2020;1;;;;;
Ciudad de Buenos Aires;16/4/2020;15;;;;;
Córdoba;16/4/2020;13;;;;;
Entre Ríos;16/4/2020;1;;;;;
La Rioja;16/4/2020;3;;;;;
Mendoza;16/4/2020;5;;;;;
Neuquén;16/4/2020;1;;;;;
Río Negro;16/4/2020;9;;;;;
Salta;16/4/2020;-1;;;;;
Santa Fe;16/4/2020;3;;;;;
Tierra del Fuego;16/4/2020;7;;;;;
Buenos Aires;17/4/2020;35;;;;;
Chaco;17/4/2020;22;;;;;
Chubut;17/4/2020;-1;;;;;
Ciudad de Buenos Aires;17/4/2020;14;;;;;
Córdoba;17/4/2020;6;;;;;
La Rioja;17/4/2020;1;;;;;
Mendoza;17/4/2020;1;;;;;
Misiones;17/4/2020;1;;;;;
Neuquén;17/4/2020;1;;;;;
Río Negro;17/4/2020;1;;;;;
Santa Fe;17/4/2020;6;;;;;
Tierra del Fuego;17/4/2020;2;;;;;
Buenos Aires;18/4/2020;31;;;;;
Chaco;18/4/2020;24;;;;;
Ciudad de Buenos Aires;18/4/2020;14;;;;;
Córdoba;18/4/2020;2;;;;;
Misiones;18/4/2020;1;;;;;
Neuquén;18/4/2020;3;;;;;
Río Negro;18/4/2020;3;;;;;
Santa Fe;18/4/2020;3;;;;;
Buenos Aires;19/4/2020;48;;;;;
Chaco;19/4/2020;5;;;;;
Chubut;19/4/2020;1;;;;;
