PROVINCIA;Departamento;Localidad;2/3/2020;3/3/2020;4/3/2020;5/3/2020;6/3/2020;7/3/2020;8/3/2020;9/3/2020;10/3/2020;11/3/2020;12/3/2020;13/3/2020;14/3/2020;15/3/2020;16/3/2020;17/3/2020;18/3/2020;19/3/2020;20/3/0202;21/3/2020;22/3/2020;23/3/2020;24/3/2020;25/3/2020;26/3/2020;27/3/2020;28/3/2020;29/3/2020;30/3/2020;31/3/2020;1/4/2020;2/4/2020;3/4/2020;4/4/2020;5/4/2020;6/4/2020;7/4/2020;8/4/2020;9/4/2020;10/4/2020;11/4/2020;15/4/2020;21/4/2020;23/4/2020;24/4/2020;25/4/2020;26/4/2020;27/4/2020;29/4/2020
Córdoba;Colón;Villa Cerro Azul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Córdoba;Colón;Salsipuedes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Córdoba;Colón;Río Ceballos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Córdoba;Gral.San Martin;Villa María;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11;11
Córdoba;Gral.San Martin;Villa Nueva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7
Córdoba;Gral.San Martin;La Playosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6
Córdoba;Río Cuarto;Río Cuarto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11;11
Córdoba;Río Cuarto;San Basilio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3
Córdoba;Río Cuarto;Vicuña Mackenna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Punilla;La Cumbre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7
Córdoba;Punilla;Cosquín;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3
Córdoba;Punilla;Villa Carlos Paz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3
Córdoba;Punilla;Villa Giardino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Córdoba;Santa María;Alta Gracia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;7
Córdoba;Santa María;Villa Parque Santa Ana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6
Córdoba;Santa María;Falda del Carmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Córdoba;San Justo;Brinkmann;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4
Córdoba;San Justo;Morteros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3
Córdoba;San Justo;Marull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;San Justo;San Francisco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Unión;Bell Ville;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Unión;Justiniano Posse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Unión;Morrison;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Unión;San Marcos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Marcos Juárez;Colonia Italiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Marcos Juárez;Corral de Bustos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Córdoba;Gral.Roca;Huinca Renancó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
